oid,proname,pronamespace,proowner,prolang,procost,prorows,provariadic,prosupport,prokind,prosecdef,proleakproof,proisstrict,proretset,provolatile,proparallel,pronargs,pronargdefaults,prorettype,proargtypes,proallargtypes,proargmodes,proargnames,proargdefaults,protrftypes,prosrc,probin,prosqlbody,proconfig,proacl
147,int4gt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 23,,,,,,int4gt,,,,
148,int2le,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 21,,,,,,int2le,,,,
149,int4le,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 23,,,,,,int4le,,,,
150,int4ge,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 23,,,,,,int4ge,,,,
151,int2ge,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 21,,,,,,int2ge,,,,
152,int2mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,21,21 21,,,,,,int2mul,,,,
153,int2div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,21,21 21,,,,,,int2div,,,,
154,int4div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 23,,,,,,int4div,,,,
155,int2mod,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,21,21 21,,,,,,int2mod,,,,
156,int4mod,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 23,,,,,,int4mod,,,,
157,textne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 25,,,,,,textne,,,,
158,int24eq,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 23,,,,,,int24eq,,,,
159,int42eq,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 21,,,,,,int42eq,,,,
160,int24lt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 23,,,,,,int24lt,,,,
161,int42lt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 21,,,,,,int42lt,,,,
162,int24gt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 23,,,,,,int24gt,,,,
163,int42gt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 21,,,,,,int42gt,,,,
164,int24ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 23,,,,,,int24ne,,,,
165,int42ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 21,,,,,,int42ne,,,,
166,int24le,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 23,,,,,,int24le,,,,
167,int42le,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 21,,,,,,int42le,,,,
168,int24ge,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 23,,,,,,int24ge,,,,
169,int42ge,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 21,,,,,,int42ge,,,,
170,int24mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,21 23,,,,,,int24mul,,,,
171,int42mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 21,,,,,,int42mul,,,,
172,int24div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,21 23,,,,,,int24div,,,,
173,int42div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 21,,,,,,int42div,,,,
176,int2pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,21,21 21,,,,,,int2pl,,,,
177,int4pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 23,,,,,,int4pl,,,,
178,int24pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,21 23,,,,,,int24pl,,,,
179,int42pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 21,,,,,,int42pl,,,,
180,int2mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,21,21 21,,,,,,int2mi,,,,
181,int4mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 23,,,,,,int4mi,,,,
182,int24mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,21 23,,,,,,int24mi,,,,
